parameter,value,jump_rate,aov_change_rate,revenue_change_rate,margin_change_rate
base_propensity,0.4,0.26098191214470284,0.13562437107785474,0.13562437107785477,0.009833940594027452
base_propensity,0.45,0.2868217054263566,0.1558317463363335,0.15583174633633357,0.019720053348390765
base_propensity,0.5,0.32041343669250644,0.1711287044698913,0.17112870446989134,0.026421370166699747
base_propensity,0.55,0.3669250645994832,0.18752136901941865,0.1875213690194186,0.03287272072436054
base_propensity,0.58,0.3850129198966408,0.19852478765676146,0.1985247876567615,0.0374398328676726
base_propensity,0.65,0.42118863049095606,0.2208424914398792,0.22084249143987913,0.047664454777953655
base_propensity,0.7,0.46770025839793283,0.23882764576223192,0.23882764576223198,0.05488634644776037
